介绍,总价/万元,元/平方米,地铁距离,描述,主键
"菊泉新城（陆翔路358弄）,3室2厅,101.67平  ",430,42293,距离7号线顾村公园站455米,宝山 顾村 |中层/14层 |朝南北,sh4304418
"中星恬园,2室2厅,104.33平  ",950,91057,距离9号线杨高中路站183米,浦东 洋泾 |低层/18层 |朝南北 |2009年建,sh4279046
"第五大道,3室2厅,151.12平  ",1350,89332,距离6号线民生路站502米,浦东 洋泾 |高层/13层 |朝南北 |2003年建,sh4276712
"高桥二村,3室0厅,51.98平  ",205,39438,距离6号线港城路站928米,浦东 外高桥 |中层/6层 |朝南北,sh4214652
"番禺大厦,2室0厅,60.84平  ",400,65746,距离11号线交通大学站742米,长宁 新华路 |中层/29层 |朝东 |1999年建,sh4249379
"涵乐园,1室2厅,68.47平  ",590,86169,距离6号线源深体育中心站153米,浦东 源深 |低层/24层 |朝东 |1999年建,sh3834890
"上南九村,2室1厅,59.38平  ",370,62310,距离8号线成山路站193米,浦东 世博 |中层/6层 |朝东南 |1986年建,sh4251675
"牡丹小区（浦东）,2室1厅,54.36平  ",420,77262,距离2号线世纪公园站562米,浦东 花木 |低层/6层 |朝南 |1994年建,sh2256085
"绿洲康城亲水湾,1室2厅,61.92平  ",372,60077,距离11号线罗山路站863米,浦东 御桥 |高层/22层 |朝南 |2012年建,sh4275355
"市益大楼,2室1厅,68.57平  ",437,63730,距离10号线国权路站693米,杨浦 五角场 |中层/6层 |朝南北 |1995年建,sh4224683
"水霞小区,3室1厅,66.46平  ",480,72223,距离2号线威宁路站688米,长宁 仙霞 |高层/6层 |朝南北 |1989年建,sh4358921
"罗阳五村,2室2厅,69.46平  ",350,50388,,闵行 梅陇 |高层/6层 |朝南北 |1996年建,sh4160879
"老红庄,2室1厅,63.2平  ",630,99683,距离11号线交通大学站368米,长宁 新华路 |中层/4层 |朝南 |1948年建,sh4237302
"嘉云苑,2室1厅,64.55平  ",320,49573,距离13号线祁连山南路站866米,普陀 长征 |低层/6层 |1997年建,sh4226249
"曹家巷小区,2室1厅,54.13平  ",420,77590,距离3号线金沙江路站510米,普陀 武宁 |高层/6层 |朝南 |1982年建,sh3710175
"环镇南路91号,2室0厅,63.16平  ",300,47498,距离9号线漕河泾开发区站662米,闵行 金虹桥 |高层/6层 |朝南 |1990年建,sh4365976
"恒大华城新华苑,2室1厅,68.9平  ",460,66763,距离8号线杨思站737米,浦东 三林 |高层/6层 |朝南北 |1997年建,sh4280657
"康强坊,3室1厅,61.1平  ",480,78559,距离1号线上海南站站579米,徐汇 康健 |中层/4层 |朝南北 |1993年建,sh4279846
"东泉小区,2室1厅,64.07平  ",398,62119,距离3号线石龙路站254米,徐汇 植物园 |高层/6层 |朝南 |1994年建,sh4275885
"安东小区,2室1厅,59.64平  ",398,66733,距离3号线虹桥路站455米,长宁 新华路 |低层/6层 |朝南北 |1987年建,sh4272242
"淞南五村,2室0厅,55.77平  ",275,49309,距离3号线长江南路站934米,宝山 淞南 |低层/6层 |朝南 |1996年建,sh4272156
"新中源大楼,2室1厅,67.2平  ",425,63244,距离12号线隆昌路站646米,杨浦 周家嘴路 |高层/18层 |朝南 |1992年建,sh4271843
"采菊苑,1室1厅,58.96平  ",265,44945,距离7号线顾村公园站772米,宝山 顾村 |低层/10层 |朝南 |2008年建,sh4266819
"广中三村,4室1厅,24.81平  ",470,189439,距离3号线赤峰路站659米,虹口 凉城 |高层/5层 |朝南 |1958年建,sh4264496
"广中三村,4室1厅,48.75平  ",470,96410,距离3号线赤峰路站659米,虹口 凉城 |高层/5层 |朝南 |1958年建,sh4264495
"万业新阶,4室1厅,44.05平  ",550,124858,距离3号线中潭路站85米,普陀 中远两湾城 |高层/23层 |朝南 |2014年建,sh4176636
"愚园路749弄,4室0厅,42.8平  ",1000,233644,距离2号线江苏路站223米,长宁 镇宁路 |高层/3层 |朝南,sh4324988
"梅园六街坊,2室0厅,47.72平  ",508,106454,距离2号线世纪大道站721米,浦东 源深 |低层/6层 |朝南 |1992年建,sh4199152
"香花桥路20弄,2室0厅,44.41平  ",313,70479,距离3号线虹桥路站847米,长宁 新华路 |高层/6层 |朝南 |1981年建,sh4152505
"邮电新村,2室0厅,44.81平  ",230,51327,距离10号线邮电新村站283米,虹口 曲阳 |中层/3层 |朝南北 |1953年建,sh4212684
"曹杨九村,2室1厅,46.93平  ",240,51139,距离3号线金沙江路站810米,普陀 曹杨 |高层/6层 |朝南北 |1976年建,sh4206902
"博山小区,1室0厅,39.77平  ",235,59089,距离6号线北洋泾路站795米,浦东 洋泾 |高层/6层 |朝南 |1987年建,sh4278639
"潍坊三村,1室0厅,34.84平  ",260,74626,距离9号线商城路站848米,浦东 潍坊 |中层/5层 |1983年建,sh4265510
"密云路471弄,1室1厅,40.83平  ",315,77149,距离8号线曲阳路站881米,虹口 曲阳 |高层/6层 |朝南北 |1985年建,sh4250181
"柿子湾小区,2室0厅,46.47平  ",480,103292,距离3号线宜山路站332米,徐汇 徐家汇 |中层/6层 |朝南北 |1991年建,sh4209173
"裕德路66弄,1室0厅,28.72平  ",405,141016,距离1号线上海体育馆站295米,徐汇 徐家汇 |低层/7层 |朝北 |1994年建,sh4151943
"国定路600弄,2室1厅,49.91平  ",315,63113,距离10号线三门路站902米,杨浦 五角场 |中层/6层 |朝南北 |1985年建,sh4309485
"鞍山四村第一小区,1室0厅,36.33平  ",246,67712,距离8号线鞍山新村站437米,杨浦 鞍山 |中层/6层 |朝南 |1985年建,sh4265203
"保德路1010弄,1室1厅,47.43平  ",245,51655,距离1号线共康路站537米,闸北 彭浦 |中层/6层 |朝南 |1992年建,sh4264879
"浣纱三村,1室1厅,45.45平  ",245,53905,距离8号线翔殷路站614米,杨浦 黄兴公园 |高层/6层 |朝南 |1995年建,sh4256220
"密云路471弄,1室0厅,40.1平  ",275,68578,距离8号线曲阳路站881米,虹口 曲阳 |高层/6层 |1984年建,sh4239967
"中华小区,2室0厅,47.67平  ",320,67128,距离3号线虹桥路站414米,长宁 新华路 |高层/7层 |朝南 |1996年建,sh4233273
"通河二村,1室1厅,41.95平  ",192,45768,距离1号线通河新村站855米,宝山 通河 |高层/6层 |1988年建,sh4250821
"德州七村,1室1厅,41.74平  ",230,55103,距离7号线长清路站924米,浦东 世博 |低层/6层 |朝南北 |1992年建,sh4294506
"富特五村,1室1厅,45.11平  ",230,50986,距离6号线航津路站891米,浦东 外高桥 |高层/6层 |朝南 |1993年建,sh4264746
"柿子湾路6号,1室1厅,39.82平  ",360,90406,距离3号线宜山路站223米,徐汇 徐家汇 |中层/6层 |朝南 |1982年建,sh4212637
"广中四村,1室1厅,34.83平  ",190,54550,距离3号线赤峰路站335米,虹口 凉城 |中层/5层 |朝南 |1957年建,sh4275387
"香花桥路20弄,2室0厅,44.41平  ",313,70479,距离3号线虹桥路站847米,长宁 新华路 |高层/6层 |朝南 |1981年建,sh4152505
"中华小区,2室0厅,47.67平  ",320,67128,距离3号线虹桥路站414米,长宁 新华路 |高层/7层 |朝南 |1996年建,sh4233273
"古宋小区,1室1厅,45.61平  ",350,76737,距离2号线威宁路站471米,长宁 仙霞 |高层/6层 |朝南北 |1989年建,sh4174384
"新泾三村,2室1厅,49.28平  ",290,58847,距离2号线北新泾站407米,长宁 北新泾 |高层/6层 |朝南 |1987年建,sh3017157
"科宁公寓,1室0厅,43.71平  ",330,75497,距离2号线中山公园站538米,长宁 中山公园 |中层/24层 |朝西南 |1991年建,sh4229837
"江苏路186弄,2室2厅,23.8平  ",350,147058,距离2号线江苏路站248米,长宁 中山公园 |低层/3层 |朝南,sh4278933
"芙蓉江路100弄,1室1厅,43.67平  ",260,59537,距离10号线水城路站964米,长宁 仙霞 |中层/6层 |1988年建,sh4272574
"虹南小区,1室1厅,41.71平  ",255,61136,距离3号线虹桥路站702米,长宁 古北 |高层/6层 |朝南 |1988年建,sh4256084
"宁康小区,1室1厅,35.74平  ",275,76944,距离2号线中山公园站350米,长宁 中山公园 |高层/6层 |朝南 |1990年建,sh4226482
"华东化工大厦,1室1厅,49.0平  ",330,67346,距离2号线江苏路站473米,长宁 镇宁路 |高层/14层 |朝西南 |1990年建,sh4261353
"安化路111弄,1室0厅,28.21平  ",200,70896,距离2号线江苏路站548米,长宁 中山公园 |低层/7层 |朝北 |1989年建,sh4249350
"仙逸小区,2室0厅,40.5平  ",258,63703,距离2号线威宁路站857米,长宁 仙霞 |中层/6层 |朝南 |1985年建,sh4360699
"虹桥小区,2室0厅,48.91平  ",305,62359,距离10号线宋园路站197米,长宁 虹桥 |高层/6层 |朝南 |1981年建,sh4321291
"永馨小区,2室0厅,46.79平  ",290,61979,距离2号线北新泾站814米,长宁 北新泾 |高层/6层 |朝南北 |1993年建,sh4302777
"虹桥小区,1室1厅,34.01平  ",225,66157,距离10号线宋园路站197米,长宁 虹桥 |高层/6层 |朝南 |1982年建,sh4193764
"张虹路90弄,1室0厅,29.54平  ",220,74475,距离10号线宋园路站441米,长宁 古北 |中层/5层 |朝南 |1982年建,sh4229608
"红庄小区,1室0厅,44.04平  ",365,82879,距离11号线交通大学站72米,长宁 新华路 |低层/18层 |朝南 |1990年建,sh4296958
"古宋小区,1室1厅,44.94平  ",355,78994,距离2号线威宁路站471米,长宁 仙霞 |高层/6层 |朝南北 |1989年建,sh4265622
"定西路1235弄,1室0厅,31.3平  ",240,76677,距离2号线中山公园站711米,长宁 中山公园 |高层/6层 |朝南 |1986年建,sh4245073
"虹纺小区,2室1厅,49.1平  ",310,63136,距离10号线水城路站491米,长宁 虹桥 |高层/6层 |朝南 |1987年建,sh4314007
"梅园六街坊,2室0厅,47.72平  ",508,106454,距离2号线世纪大道站721米,浦东 源深 |低层/6层 |朝南 |1992年建,sh4199152
"香花桥路20弄,2室0厅,44.41平  ",313,70479,距离3号线虹桥路站847米,长宁 新华路 |高层/6层 |朝南 |1981年建,sh4152505
"邮电新村,2室0厅,44.81平  ",230,51327,距离10号线邮电新村站283米,虹口 曲阳 |中层/3层 |朝南北 |1953年建,sh4212684
"博山小区,1室0厅,39.77平  ",235,59089,距离6号线北洋泾路站795米,浦东 洋泾 |高层/6层 |朝南 |1987年建,sh4278639
"潍坊三村,1室0厅,34.84平  ",260,74626,距离9号线商城路站848米,浦东 潍坊 |中层/5层 |1983年建,sh4265510
"密云路471弄,1室1厅,40.83平  ",315,77149,距离8号线曲阳路站881米,虹口 曲阳 |高层/6层 |朝南北 |1985年建,sh4250181
"柿子湾小区,2室0厅,46.47平  ",480,103292,距离3号线宜山路站332米,徐汇 徐家汇 |中层/6层 |朝南北 |1991年建,sh4209173
"裕德路66弄,1室0厅,28.72平  ",405,141016,距离1号线上海体育馆站295米,徐汇 徐家汇 |低层/7层 |朝北 |1994年建,sh4151943
"国定路600弄,2室1厅,49.91平  ",315,63113,距离10号线三门路站902米,杨浦 五角场 |中层/6层 |朝南北 |1985年建,sh4309485
"鞍山四村第一小区,1室0厅,36.33平  ",246,67712,距离8号线鞍山新村站437米,杨浦 鞍山 |中层/6层 |朝南 |1985年建,sh4265203
"保德路1010弄,1室1厅,47.43平  ",245,51655,距离1号线共康路站537米,闸北 彭浦 |中层/6层 |朝南 |1992年建,sh4264879
"浣纱三村,1室1厅,45.45平  ",245,53905,距离8号线翔殷路站614米,杨浦 黄兴公园 |高层/6层 |朝南 |1995年建,sh4256220
"密云路471弄,1室0厅,40.1平  ",275,68578,距离8号线曲阳路站881米,虹口 曲阳 |高层/6层 |1984年建,sh4239967
"中华小区,2室0厅,47.67平  ",320,67128,距离3号线虹桥路站414米,长宁 新华路 |高层/7层 |朝南 |1996年建,sh4233273
"通河二村,1室1厅,41.95平  ",192,45768,距离1号线通河新村站855米,宝山 通河 |高层/6层 |1988年建,sh4250821
"碧林湾南苑（华友路150弄）,2室1厅,44.58平  ",350,78510,距离12号线七莘路站783米,闵行 七宝 |高层/5层 |朝南北,sh4377965
"德州七村,1室1厅,41.74平  ",230,55103,距离7号线长清路站924米,浦东 世博 |低层/6层 |朝南北 |1992年建,sh4294506
"广中四村,1室1厅,34.83平  ",190,54550,距离3号线赤峰路站335米,虹口 凉城 |中层/5层 |朝南 |1957年建,sh4275387
"永福路147弄,1室1厅,39.2平  ",540,137755,距离10号线上海图书馆站185米,徐汇 衡山路 |中层/5层 |朝南 |1975年建,sh4264825
"杨思路502弄,2室0厅,46.68平  ",250,53556,距离8号线杨思站93米,浦东 三林 |高层/7层 |朝东北 |1995年建,sh4250481
"鸿宝二村,1室1厅,41.36平  ",142,34332,,奉贤 西渡 |高层/6层,sh4329855
"育秀东区,1室1厅,37.5平  ",140,37333,,奉贤 南桥 |低层/6层,sh4312394
"鸿宝一村,1室1厅,42.89平  ",150,34973,,奉贤 西渡 |低层/6层 |朝南 |1995年建,sh4356030
"乐康苑,1室1厅,45.59平  ",170,37288,,奉贤 西渡 |低层/6层 |朝南北 |2004年建,sh4338943
